num_el, omega, nonzero_prop
3, 1, 1.0
4, 1, 1.0
5, 1, 0.78875
6, 1, 0.6390174439302243
7, 1, 0.5344352617079889
8, 1, 0.45842012497997114
9, 1, 0.40099243856332706
10,	1, 0.35619047619047617
11,	1, 0.320310255673657 
12,	1, 0.29095041081522055
13,	1, 0.2664930555555556
14,	1, 0.24581118909489227
15,	1, 0.2280968858131488
16,	1, 0.21275642748365134
17,	1, 0.19934402332361517
18,	1, 0.1875186007646345
19,	1, 0.17701485269052836
20,	1, 0.1676233589859665
21,	1, 0.15917663891779396
23,	1, 0.14460013852629336
25,	1, 0.13246666666666668
27,	1, 0.12221009447100004
29,	1, 0.11342652376033058
31,	1, 0.10582010582010581
33,	1, 0.09916919909812763
35,	1, 0.0933044889129259
37,	1, 0.0880944136657433
39,	1, 0.08343520256193936
41,	1, 0.07924390848781697
43,	1, 0.0754534360139713
45,	1, 0.07200892857142857
47,	1, 0.06886510035061562
49,	1, 0.0659842368319877
51,	1, 0.06333467634948556
56,	1, 0.05755662078189592
61,	1, 0.052744547526041664
66,	1, 0.04867493215773704
71,	1, 0.04518826791533772
76,	1, 0.04216768082607894
81,	1, 0.039525579494012024
86,	1, 0.03719502548447284
91,	1, 0.03512398543137624
96,	1, 0.03327140143702502
101, 1, 0.03160444234404537